S,R,LB,radius,weight,Group,ReasonId,Timestamp,ProjectId
L11003110,L11010856,L11018667,3,1000,1,1,2019-07-28 22:15:33.650,0
L11003110,L11003645,L11018667,3,1000,1,2,2019-07-28 22:24:10.120,0
L11003110,L11006361,L11018667,3,900,1,7,2019-07-30 08:19:56.097,0
L11006149,L50208556,L11018667,2,500,1,6,2019-07-11 15:47:46.180,0
L11006149,L11005920,L11018667,3,200,1,10,2019-07-11 14:57:20.250,0
L11005837,L11010067,L11018667,2,100,1,1,2019-07-13 10:58:37.113,0
L11005837,L11008306,L11018667,2,300,1,9,2019-07-13 11:06:51.097,0
L11005837,L11006151,L11018667,2,300,1,1,2019-07-13 11:27:30.077,0
L11005837,L11006044,L11018667,2,500,1,10,2019-07-13 10:37:15.210,0
L11005837,L11006141,L11018667,2,100,1,1,2019-07-13 10:49:04.197,0
L11005837,L11004416,L11018667,3,100,1,3,2019-07-13 10:42:22.107,0
L11005837,L11002878,L11018667,3,100,1,1,2019-07-15 20:04:59.643,0
L11005837,L11006028,L11018667,3,100,1,1,2019-07-13 10:40:08.097,0
L11005837,L11006121,L11018667,3,100,1,10,2019-07-13 10:28:58.133,0
L11005837,L11006013,L11018667,3,100,1,10,2019-07-13 10:32:25.190,0
L11005837,L11006012,L11018667,3,100,1,4,2019-07-13 10:34:24.180,0
L11005837,L11006153,L11018667,3,100,1,1,2019-07-13 10:46:20.187,0
L11005837,L11006046,L11018667,3,500,1,10,2019-07-13 10:51:19.157,0
L11005837,L11035060,L11018667,3,190,1,1,2019-07-13 10:54:45.187,0
L11005837,L11005846,L11018667,3,200,1,10,2019-07-13 11:02:32.093,0
L11005837,L11005413,L11018667,3,100,1,1,2019-07-13 11:10:42.160,0
L11005837,L11027936,L11018667,3,200,1,1,2019-07-13 11:13:54.167,0
L11005837,L11012824,L11018667,3,100,1,3,2019-07-13 11:16:48.200,0
L11005837,L11009953,L11018667,3,300,1,10,2019-07-13 11:23:58.160,0
L11005837,L11034775,L11018667,3,200,1,1,2019-07-15 10:37:41.987,0
L11005837,L11005812,L11018667,3,100,1,1,2019-07-15 10:41:57.023,0
L11005837,L11004404,L11018667,3,100,1,1,2019-07-15 20:08:30.650,0
L11001844,L11013010,L11018667,2,500,1,7,2019-07-24 16:33:37.120,0
L11001844,L11000861,L11018667,2,200,1,8,2019-07-24 16:40:54.577,0
L11001844,L11000863,L11018667,3,500,1,1,2019-07-24 16:35:17.133,0
L11001844,L11004882,L11018667,3,500,1,8,2019-07-24 16:36:15.150,0
L11001844,L11014930,L11018667,3,110,1,4,2019-07-24 16:09:56.140,0
L11001844,L11001907,L11018667,3,100,1,8,2019-07-24 16:08:46.610,0
L11001844,L11012841,L11018667,3,500,1,1,2019-07-30 13:11:31.387,0
L11001844,L11006198,L11018667,3,200,1,8,2019-07-24 16:39:23.587,0
L11001844,L11006194,L11018667,3,500,1,8,2019-07-24 16:37:13.167,0
L11013353,L70008999,L11018667,2,1,1,5,2019-07-11 13:53:01.183,0
L11013353,L11008306,L11018667,2,1,1,8,2019-07-11 13:55:58.277,0
L11006187,L11006195,L11018667,2,500,1,1,2019-07-28 12:46:22.027,0
